"選區(95-100年)","議員","年","建議筆數","建議金額(單位：千元)","顧別人建議金額(千元)","顧別人人均建議金額(千元)","族群別","性別","政黨","族群","委員會召集人","委員會副召集人","召集人","委員會召集人類別","縣長、議員與鄉鎮市首長選舉年","勝選幅度DQ","選區規模","選區類型","人口數","政治獻金金額 (單位：千元)","資深程度","自由財源","自由財源比","代表性 （單位：千）","所屬選區鄉鎮市","利益座落地點（鄉鎮市）"
"臺東縣第十四選區","江多利",95,2,192,200,200,"L",1,2,2,0,0,0,0,0,1.095179234,1,5,4896,0,1,26.24353823,0.2624353823,0.03,"蘭嶼鄉、台東市、綠島鄉","卑南鄉"
"臺東縣第十四選區","江多利",95,2,192,100,100,"L",1,2,2,0,0,0,0,0,1.095179234,1,5,4896,0,1,26.24353823,0.2624353823,0.03,"蘭嶼鄉、台東市、綠島鄉","太麻里鄉"
"臺東縣第十三選區","朱連濟",95,2,1581,150,150,"排灣族",0,1,2,0,0,0,0,0,0.786115365,1,5,3776,0,2,2.836371041,0.02836371041,0,"達仁鄉、大武鄉","金峰鄉"
"臺東縣第十三選區","朱連濟",95,2,1581,200,200,"排灣族",0,1,2,0,0,0,0,0,0.786115365,1,5,3776,0,2,2.836371041,0.02836371041,0,"達仁鄉、大武鄉","台東市"
"xxx","江堅壽",95,9,1088,100,100,"卑南族",1,1,1,1,0,1,1,0,0.7295095063,2,4,14194,2210.05,1,8.497536313,0.08497536313,0.01,"卑南鄉、太麻里鄉、金峰鄉、達仁鄉、大武鄉、蘭嶼鄉","關山鎮"
"臺東縣第六選區","王清堅",95,1,99,96,96,"阿美族",1,0,1,0,0,0,0,0,0.6902530459,2,4,18072,0,2,68.67290351,0.6867290351,0.07,"台東市","關山鎮"
"臺東縣第六選區","王清堅",95,1,99,100,100,"阿美族",1,0,1,0,0,0,0,0,0.6902530459,2,4,18072,0,2,68.67290351,0.6867290351,0.07,"台東市","關山鎮"
"臺東縣第六選區","王清堅",95,1,99,50,50,"阿美族",1,0,1,0,0,0,0,0,0.6902530459,2,4,18072,0,2,68.67290351,0.6867290351,0.07,"台東市","東河鄉"
"臺東縣第六選區","王清堅",95,1,99,100,100,"阿美族",1,0,1,0,0,0,0,0,0.6902530459,2,4,18072,0,2,68.67290351,0.6867290351,0.07,"台東市","關山鎮"
"臺東縣第六選區","洪玫璉",95,4,1800,300,300,"卑南族",0,1,1,0,0,0,0,0,0.6902530459,2,4,18072,0,1,68.67290351,0.6867290351,0.07,"台東市","卑南鄉"
